page rank, identifier
0.59625,urn:lsid:biosci.ohio-state.edu:osuc_names:455
0.575,B
0.575,http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.742
0.564375,urn:lsid:biosci.ohio-state.edu:osuc_names:7836
0.564375,urn:lsid:biosci.ohio-state.edu:osuc_names:474
0.564375,urn:lsid:biosci.ohio-state.edu:osuc_names:370
0.564375,"MSNG, Genoa, Italy"
0.564375,urn:lsid:biosci.ohio-state.edu:osuc_names:297418
0.5325,EOLID:1178488
0.5325,urn:lsid:biosci.ohio-state.edu:osuc_names:296309
0.5325,AMNH 5220
0.5325,EOLID:14395
0.5325,urn:lsid:biosci.ohio-state.edu:osuc_names:544
0.5325,FMNH 282818
0.5325,AMNH 3160
0.5325,EOLID:1048435
0.5325,EOLID:15506481
0.5325,urn:lsid:biosci.ohio-state.edu:osuc_names:15279
0.5325,USNM 123392
0.5325,MCZ 8290
0.5325,EOLID:57860
0.5325,FMNH Me 2259
0.5325,AMNH 650
0.5325,USNM 2412
0.5325,AMNH 5427
0.5325,EOLID:2867241
0.5325,EOLID:3773708
0.5325,AMNH 5405
0.5325,FMNH 99071
0.5325,EOLID:13038
0.5325,EOLID:11084094
0.5325,EOLID:35924
0.5325,USNM 572502
0.5325,AMNH 5337
0.5325,EOLID:11021890
0.5325,"MCZC, Cambridge, MA, USA"
0.5325,EOLID:19891
0.507,Cryo
0.500625,urn:lsid:biosci.ohio-state.edu:osuc_names:7843
0.500625,urn:lsid:biosci.ohio-state.edu:osuc_names:296313
0.500625,urn:lsid:biosci.ohio-state.edu:osuc_names:295753
0.5006249999999999,urn:lsid:biosci.ohio-state.edu:osuc_names:95
0.5006249999999999,MCZC
0.47124999999999995,USNM ENT 00873051
0.46875,urn:lsid:biosci.ohio-state.edu:osuc_names:15208
0.46875,urn:lsid:biosci.ohio-state.edu:osuc_names:297230
0.46875,urn:lsid:biosci.ohio-state.edu:osuc_names:9375
0.46875,TAMU
0.4687499999999999,urn:lsid:biosci.ohio-state.edu:osuc_names:148
0.4687499999999999,urn:lsid:biosci.ohio-state.edu:osuc_names:296525
0.4687499999999999,urn:lsid:biosci.ohio-state.edu:osuc_names:67
0.4687499999999999,urn:lsid:biosci.ohio-state.edu:osuc_names:295587
0.4687499999999999,urn:lsid:biosci.ohio-state.edu:osuc_names:296698
0.4687499999999999,urn:lsid:biosci.ohio-state.edu:osuc_names:295699
0.4475,MNHN 0.742
0.436875,"ABS, Lake Placid, FL, USA"
0.436875,urn:lsid:biosci.ohio-state.edu:osuc_names:504
0.436875,"USNM, Washington, DC, USA"
0.436875,urn:lsid:biosci.ohio-state.edu:osuc_names:296709
0.436875,urn:lsid:biosci.ohio-state.edu:osuc_names:296147
0.415625,ECON
0.405,MCZ 072063
0.405,EOLID:32705
0.405,GRAY 1855
0.405,INBS 3830
0.405,FMNH PF 5686
0.405,USNM 874932
0.405,urn:lsid:biosci.ohio-state.edu:osuc_names:179203
0.405,AMNH 969
0.405,USNM 310585
0.405,EOLID:11018392
0.405,USNM 71367
0.405,USNM 215649
0.405,DECEMBER 1969
0.405,TMP 1992.082.0001
0.405,SCHLEGEL 1837
0.405,VIAF 243450000
0.405,urn:lsid:biosci.ohio-state.edu:osuc_names:296686
0.405,USNM 579874
0.405,EOLID:14452
0.405,EOLID:13173217
0.405,AMNH FR 30630
0.405,EOLID:38592
0.405,JEP Boeing 777
0.405,OUZC 1633
0.405,EOLID:24030
0.405,EOLID:2988518
0.405,ISBN 0
0.405,USNM 12
0.405,MCZ 3408
0.405,EOLID:4759043
0.405,AMNH 5240
0.405,FSI 5
0.405,USNM 65066
0.405,urn:lsid:biosci.ohio-state.edu:osuc_names:295871
0.405,FMNH PE 55318
0.405,EOLID:39469
0.405,AMNH 18650
0.405,EOLID:11055578
0.405,AMNH 16
0.405,AMNH 6120
0.405,EOLID:10711852
0.405,USA 141
0.405,EOLID:39388
0.405,USNM 170981
0.405,AMNH 29074
0.405,EOLID:34806
0.405,USNM PAL 60086
0.405,FMNH PE 60837
0.405,AMNH 1696
0.405,USNM 131814
0.405,urn:lsid:biosci.ohio-state.edu:osuc_names:296570
0.405,MCZ 32370
0.405,EOLID:11086947
0.405,5
0.405,MVZ 155199
0.405,USNM 859315
0.405,EOLID:4757476
0.405,USNM 3814
0.405,AMNH 5850
0.405,FMNH PP 33689
0.405,EOLID:112874
0.405,AMNH 3998
0.405,AMNH 46594
0.405,EOLID:4856646
0.405,AMNH 9631
0.405,AMNH 5401
0.405,EOLID:795410
0.405,FMNH P 26228
0.405,IRSNB M 167
0.405,EOLID:108134
0.405,AFS 3
0.405,EOLID:34859
0.405,USNM 1
0.405,EOLID:10711744
0.405,FMNH 13897
0.405,urn:lsid:biosci.ohio-state.edu:osuc_names:284
0.405,USNM 171034
0.405,RAM 14000
0.405,EOLID:4700774
0.405,EOLID:20566
0.405,EOLID:4873050
0.405,C4B16364-C5A0-47FB-9A79-EB5FEDAED686/1101
0.405,C58F2311-5C35-4962-9EF0-BB09A21226D6/654
0.405,USNM 125945
0.405,MCZ 17439
0.405,USNM 578190
0.405,EOLID:14349
0.405,urn:lsid:biosci.ohio-state.edu:osuc_names:295723
0.405,VIAF 46014703
0.405,EOLID:2546295
0.405,FMNH PP 33636
0.405,EOLID:12112274
0.405,AMNH 5403
0.405,FMNH PE 37598
0.405,USNM 4934
0.405,EOLID:50301
0.405,AMNH 6515
0.405,AMNH 5060
0.405,USNM 153400
0.405,EOLID:15711
0.405,EOLID:58457
0.405,EOLID:9103592
0.405,MCZ 181161
0.405,AMNH 29051
0.405,FMNH PP 53399
0.405,EOLID:14284
0.405,AMNH LIBRARY 100101322
0.405,AMNH 4569
0.405,AMNH 4985
0.405,EOLID:62651
0.405,USA 180
0.405,EOLID:1722
0.405,USNM 180947
0.405,EOLID:206776
0.405,USNM 1000153
0.405,USNM 180241
0.405,EOLID:24839
0.405,EOLID:14481
0.405,AMNH 5340
0.405,EOLID:13966
0.405,EOLID:11020233
0.405,EOLID:15085
0.405,USNM 502382
0.405,USNM 238008
0.405,USNM 117384
0.405,EOLID:57589
0.405,EOLID:34550
0.405,AMNH 1
0.405,MCZ LIBRARYHARV 0
0.405,AMNH 22555
0.405,EOLID:213810
0.405,FMNH PE 37647
0.405,AMNH 3856
0.405,USNM 867015
0.405,AMNH 6517
0.405,IRCW
0.405,AMNH 26
0.405,FMNH PE 60828
0.405,MCZ 161803
0.405,EOLID:104480
0.405,EOLID:17017251
0.405,FMNH 70726
0.405,AMNH 9522
0.405,LACM 62
0.405,urn:lsid:biosci.ohio-state.edu:osuc_names:295520
0.405,EOLID:221719
0.405,USNM 582493
0.405,AMNH 29076
0.405,urn:lsid:biosci.ohio-state.edu:osuc_names:295785
0.405,EOLID:208483
0.405,EOLID:24025
0.405,EOLID:11621353
0.405,USNM 180245
0.405,LBOB
0.405,ALM on 2
0.405,EOLID:11039101
0.405,USNM 108462
0.4049999999999999,urn:lsid:biosci.ohio-state.edu:osuc_names:7851
0.38587499999999997,1131848A-4E5F-441A-85C6-937F04B1EFB8/1190
