start_id,link_rel,end_id
http://zookeys.pensoft.net/articles.php?id=3982,refers,USNM ENT 00873997
http://zookeys.pensoft.net/articles.php?id=3982,refers,USNM ENT 00873998
http://zookeys.pensoft.net/articles.php?id=3982,refers,USNM ENT 00873998
http://zookeys.pensoft.net/articles.php?id=3982,refers,USNM ENT 00873999
http://zookeys.pensoft.net/articles.php?id=3982,refers,USNM ENT 00873999
http://zookeys.pensoft.net/articles.php?id=3982,refers,USNM Liturgusa 1
http://zookeys.pensoft.net/articles.php?id=3982,refers,USNM Liturgusa 34
http://zookeys.pensoft.net/articles.php?id=3982,refers,USNM Liturgusa 36
http://zookeys.pensoft.net/articles.php?id=3982,refers,USNM Liturgusa 45
http://zookeys.pensoft.net/articles.php?id=3982,refers,USNM Liturgusa 6
http://zookeys.pensoft.net/articles.php?id=3982,refers,USNM Liturgusa 62
http://specimens.mantodearesearch.com/specimen/958,refers,USNM ENT 00873051
