0.34985625000000004,http://www.gbif.org/species/6163936
0.32,MNHN RA 0.742
0.27999999999999997,USNM ENT 00873966
0.27999999999999997,USNM ENT 00873970
0.27999999999999997,USNM ENT 00873984
0.27999999999999997,USNM ENT 00873985
0.27999999999999997,USNM ENT 00873993
0.27999999999999997,USNM ENT 00873968
0.27999999999999997,USNM ENT 00873972
0.27999999999999997,USNM ENT 00873980
0.27999999999999997,USNM ENT 00873974
0.27999999999999997,USNM ENT 00873978
0.27999999999999997,USNM ENT 00873999
0.27999999999999997,USNM ENT 00873979
0.27999999999999997,USNM ENT 00873987
0.27999999999999997,USNM ENT 00873996
0.27999999999999997,USNM ENT 00873975
0.27999999999999997,USNM ENT 00873991
0.27999999999999997,USNM ENT 00873998
0.27749999999999997,FMNH PE 56154
0.27749999999999997,EOLID:477122
0.27749999999999997,EOLID:1177832
0.27749999999999997,EOLID:206636
0.27749999999999997,MCZ 100125
0.27749999999999997,EOLID:11020917
0.27749999999999997,MCZ 072329
0.27749999999999997,EOLID:52718
0.27749999999999997,EOLID:50837
0.27749999999999997,EOLID:104750
0.27749999999999997,MCZ 100140
0.27749999999999997,USNM 77804
0.27749999999999997,ADE 0
0.27749999999999997,BARBUS CHAGUMIO 2
0.27749999999999997,USNM 311880
0.27749999999999997,BMNH 1974.524
0.27749999999999997,BMNH 1950.11.14.48
0.27749999999999997,USNM PAL 60079
0.27749999999999997,EOLID:206724
0.27749999999999997,EOLID:203933
0.27749999999999997,LACM 71
0.27749999999999997,EOLID:215489
0.27749999999999997,EOLID:25494
0.27749999999999997,EOLID:2783514
0.27749999999999997,EOLID:36170
0.27749999999999997,EOLID:2762079
0.27749999999999997,EOLID:985686
0.27749999999999997,MOR 693
0.27749999999999997,SOUTHERN OCCURRENCE 187
0.27749999999999997,EOLID:207857
0.27749999999999997,EOLID:38816
0.27749999999999997,AMNH FARB 6412
0.27749999999999997,EOLID:1004162
0.27749999999999997,EOLID:899591
0.27749999999999997,MCZ 1161
0.27749999999999997,OVPBJNUS 1
0.27749999999999997,EOLID:4603195
0.27749999999999997,EOLID:205048
0.27749999999999997,USNM 238104
0.27749999999999997,EOLID:1033425
0.27749999999999997,EOLID:224921
0.27749999999999997,USNM 180058
0.27749999999999997,FMNH 173105
0.27749999999999997,REVISION 15
0.27749999999999997,NHRP 82002156
0.27749999999999997,CPS 190211
0.27749999999999997,FMNH PA 607
0.27749999999999997,http://n2t.net/ark:/65665/34629176f-1a72-4714-b23b-b77bf730bcd9
0.27749999999999997,FMNH 60402
0.27749999999999997,USNM 333454
0.27749999999999997,EOLID:19076
0.27749999999999997,MCZ 6222
0.27749999999999997,AMNH 4994
0.27749999999999997,EOLID:795409
0.27749999999999997,AMNH 1112
0.27749999999999997,MCZ 6129
0.27749999999999997,EOLID:11108708
0.27749999999999997,EOLID:58662
0.27749999999999997,EOLID:573826
0.27749999999999997,AMNH 66733
0.27749999999999997,AMNH 5836
0.27749999999999997,EOLID:401252
0.27749999999999997,USNM 80014
0.27749999999999997,USNM 774206
0.27749999999999997,CMD 526
0.27749999999999997,EOLID:41279
